"Year" "Age" "mx" "qx" "ax" "lx" "dx" "Lx" "Tx" "ex"
"5218" 1980 "0" NA 0.006 NA NA NA NA NA NA
"5219" 1980 "1" NA 0.00137608767664485 NA NA NA NA NA NA
"5220" 1980 "2" NA 0.00128640429790151 NA NA NA NA NA NA
"5221" 1980 "3" NA 0.00119669965479501 NA NA NA NA NA NA
"5222" 1980 "4" NA 0.00110691753902259 NA NA NA NA NA NA
"5223" 1980 "5" NA 0.0010169786940219 NA NA NA NA NA NA
"5224" 1980 "6" NA 0.000926749540231824 NA NA NA NA NA NA
"5225" 1980 "7" NA 0.000836074417663941 NA NA NA NA NA NA
"5226" 1980 "8" NA 0.000744757529541857 NA NA NA NA NA NA
"5227" 1980 "9" NA 0.000652570027101864 NA NA NA NA NA NA
"5228" 1980 "10" NA 0.000559269714940399 NA NA NA NA NA NA
"5229" 1980 "11" NA 0.000464585563404166 NA NA NA NA NA NA
"5230" 1980 "12" NA 0.000368236801824608 NA NA NA NA NA NA
"5231" 1980 "13" NA 0.000269932378586605 NA NA NA NA NA NA
"5232" 1980 "14" NA 0.000169378105081271 NA NA NA NA NA NA
"5233" 1980 "15" NA 6.62883541721724e-05 NA NA NA NA NA NA
"5234" 1980 "16" NA 3.95876508463561e-05 NA NA NA NA NA NA
"5235" 1980 "17" NA 0.000148479001202616 NA NA NA NA NA NA
"5236" 1980 "18" NA 0.000260537189323004 NA NA NA NA NA NA
"5237" 1980 "19" NA 0.000375797905471361 NA NA NA NA NA NA
"5238" 1980 "20" NA 0.000494221368588996 NA NA NA NA NA NA
"5239" 1980 "21" NA 0.000615568741619981 NA NA NA NA NA NA
"5240" 1980 "22" NA 0.000739515707279795 NA NA NA NA NA NA
"5241" 1980 "23" NA 0.000865553489454088 NA NA NA NA NA NA
"5242" 1980 "24" NA 0.000992971220148383 NA NA NA NA NA NA
"5243" 1980 "25" NA 0.00112095554638631 NA NA NA NA NA NA
"5244" 1980 "26" NA 0.00124844955091482 NA NA NA NA NA NA
"5245" 1980 "27" NA 0.00137426862014506 NA NA NA NA NA NA
"5246" 1980 "28" NA 0.00149696091942179 NA NA NA NA NA NA
"5247" 1980 "29" NA 0.0016149596784262 NA NA NA NA NA NA
"5248" 1980 "30" NA 0.00172645617309406 NA NA NA NA NA NA
"5249" 1980 "31" NA 0.00182939582033408 NA NA NA NA NA NA
"5250" 1980 "32" NA 0.00192159305636283 NA NA NA NA NA NA
"5251" 1980 "33" NA 0.00200053612325829 NA NA NA NA NA NA
"5252" 1980 "34" NA 0.00206357843865282 NA NA NA NA NA NA
"5253" 1980 "35" NA 0.00210780104043506 NA NA NA NA NA NA
"5254" 1980 "36" NA 0.00212999458618307 NA NA NA NA NA NA
"5255" 1980 "37" NA 0.00212679421318358 NA NA NA NA NA NA
"5256" 1980 "38" NA 0.0020944500819577 NA NA NA NA NA NA
"5257" 1980 "39" NA 0.00202905357321683 NA NA NA NA NA NA
"5258" 1980 "40" NA 0.00192637548577898 NA NA NA NA NA NA
"5259" 1980 "41" NA 0.00178184232516253 NA NA NA NA NA NA
"5260" 1980 "42" NA 0.0015906989163178 NA NA NA NA NA NA
"5261" 1980 "43" NA 0.00134774511960431 NA NA NA NA NA NA
"5262" 1980 "44" NA 0.00104759987764248 NA NA NA NA NA NA
"5263" 1980 "45" NA 0.000684524311913225 NA NA NA NA NA NA
"5264" 1980 "46" NA 0.000252393408210165 NA NA NA NA NA NA
"5265" 1980 "47" NA 0.000255115218647969 NA NA NA NA NA NA
"5266" 1980 "48" NA 0.00084479697864605 NA NA NA NA NA NA
"5267" 1980 "49" NA 0.00152363962346408 NA NA NA NA NA NA
"5268" 1980 "50" NA 0.00229900905526417 NA NA NA NA NA NA
"5269" 1980 "51" NA 0.00317867249572355 NA NA NA NA NA NA
"5270" 1980 "52" NA 0.00417058788440035 NA NA NA NA NA NA
"5271" 1980 "53" NA 0.00528314879835556 NA NA NA NA NA NA
"5272" 1980 "54" NA 0.00652495955706338 NA NA NA NA NA NA
