"age" "year" "gender_name" "Freq" "unhealthy" "cohort"
"1" 50 1994 "female" 57 0.01 1944
"2" 51 1994 "female" 50 0.0109417011863654 1943
"3" 52 1994 "female" 54 0.0119720824851709 1942
"4" 53 1994 "female" 72 0.0130994949131259 1941
"5" 54 1994 "female" 51 0.0143330759031737 1940
"6" 55 1994 "female" 73 0.015682823361402 1939
"7" 56 1994 "female" 50 0.0171596766979011 1938
"8" 57 1994 "female" 68 0.018775605488307 1937
"9" 58 1994 "female" 52 0.0205437064846137 1936
"10" 59 1994 "female" 79 0.022478309761504 1935
"11" 60 1994 "female" 85 0.0245950948584936 1934
"12" 61 1994 "female" 65 0.0269112178591949 1933
"13" 62 1994 "female" 70 0.0294454504376489 1932
"14" 63 1994 "female" 81 0.0322183319986686 1931
"15" 64 1994 "female" 99 0.0352523361452545 1930
"16" 65 1994 "female" 58 0.0385720528222682 1929
"17" 66 1994 "female" 97 0.042204387612596 1928
"18" 67 1994 "female" 82 0.0461787798010566 1927
"19" 68 1994 "female" 79 0.0505274409734126 1926
"20" 69 1994 "female" 56 0.0552856160842794 1925
"21" 70 1994 "female" 63 0.06049186910983 1924
"22" 71 1994 "female" 81 0.0661883956004486 1923
"23" 72 1994 "female" 73 0.0724213646665048 1922
"24" 73 1994 "female" 66 0.0792412931689695 1921
"25" 74 1994 "female" 92 0.0867034551476039 1920
"26" 75 1994 "female" 60 0.0948683298050514 1919
"27" 76 1994 "female" 52 0.103802091677643 1918
"28" 77 1994 "female" 94 0.113577146965648 1917
"29" 78 1994 "female" 75 0.124272720369802 1916
"30" 79 1994 "female" 83 0.135975497190311 1915
"31" 80 1994 "female" 81 0.148780325892385 1914
"32" 81 1994 "female" 78 0.162790986832454 1913
"33" 82 1994 "female" 71 0.178121033375425 1912
"34" 83 1994 "female" 97 0.194894712220051 1911
"35" 84 1994 "female" 90 0.213247970391447 1910
"36" 85 1994 "female" 76 0.23332955706221 1909
"37" 86 1994 "female" 69 0.255302229132169 1908
"38" 87 1994 "female" 92 0.279344070337717 1907
"39" 88 1994 "female" 53 0.305649934581833 1906
"40" 89 1994 "female" 87 0.334433025182654 1905
"41" 90 1994 "female" 76 0.365926622840081 1904
"42" 91 1994 "female" 85 0.400385976325198 1903
"43" 92 1994 "female" 89 0.438090371216148 1902
"44" 93 1994 "female" 58 0.479345393447097 1901
"45" 94 1994 "female" 99 0.524485406015887 1900
"46" 95 1994 "female" 91 0.573876258923536 1899
